StartTime: 2022-05-05 14:38:30.839
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM1	 17:08:20.785	-0.3936	0.9634	0.2656	0.0000	0.0000	0.0000	72.2681	15.6555	-129.0509	27.2000	998	-13659	-1805	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.27158	0.35056	-0.48007	-0.75681	0	0.00	0.00	0.00
COM4	 17:08:20.792	-0.0527	0.9292	-0.3057	0.0000	0.0000	0.0000	108.2318	-0.6317	90.0439	27.6100	2295	-6551	2179	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.41110	0.57492	0.57080	0.41776	0	0.00	0.00	0.00
COM3	 17:08:20.792	0.0732	0.9551	-0.0249	0.0000	0.0000	0.0000	91.2085	-6.4435	160.9167	29.5500	280	-6348	3268	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.07614	0.15704	0.69696	0.69547	0	0.00	0.00	0.00
COM0	 17:08:20.792	0.1431	0.9404	-0.0127	0.0000	0.0000	0.0000	94.4879	-10.9863	145.3986	28.5900	279	-6140	3365	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.13025	0.28302	0.70404	0.63809	0	0.00	0.00	0.00
COM3	 17:08:20.807	0.0718	0.9546	-0.0156	0.0000	0.0000	0.0000	91.0767	-6.2238	160.0323	29.5500	368	-6334	3242	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.08090	0.16000	0.69583	0.69537	0	0.00	0.00	0.00
COM4	 17:08:20.807	-0.0601	0.9360	-0.2930	0.0000	0.0000	0.0000	108.1989	-0.3571	89.8187	27.5800	2282	-6550	2151	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.41345	0.57495	0.57056	0.41571	0	0.00	0.00	0.00
COM4	 17:08:20.807	-0.0405	0.9443	-0.2852	0.0000	0.0000	0.0000	108.1549	-0.0330	89.5660	27.5800	2272	-6521	2119	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.41345	0.57495	0.57056	0.41571	0	0.00	0.00	0.00
COM2	 17:08:20.807	0.4648	0.8999	0.2197	0.0000	0.0000	0.0000	78.4918	-18.8141	-35.3760	29.1000	-2415	-5762	-2360	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.75928	0.55615	-0.31024	-0.13358	0	0.00	0.00	0.00
COM2	 17:08:20.807	0.7979	1.0405	0.2310	0.0000	0.0000	0.0000	78.4918	-18.8141	-35.3760	29.2900	-2415	-5762	-2360	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.75928	0.55615	-0.31024	-0.13358	0	0.00	0.00	0.00
COM2	 17:08:20.807	0.7979	1.0405	0.2310	0.0000	0.0000	0.0000	78.0524	-24.1919	-31.9318	29.2900	-2415	-5762	-2360	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.75928	0.55615	-0.31024	-0.13358	0	0.00	0.00	0.00
