address,axg,ayg,azg,AngleXdeg,AngleYdeg,AngleZdeg,hx,hy,hz,q0,q1,q2,q3
1,-0.4683,0.2695,0.8047,26.499,30.9375,45.5658,513,-10477,-8525,0.88919,0.10287,0.3233,0.30676
1,-0.521,0.165,0.9619,27.8284,30.8936,45.4889,670,-10963,-8268,0.88821,0.11374,0.32721,0.30161
1,-0.4971,0.1807,0.8911,27.5922,31.5527,46.626,622,-11059,-8208,0.8848,0.1087,0.33176,0.30844
1,-0.5483,0.3174,0.7656,27.1417,31.9812,47.6532,976,-11038,-8150,0.8808,0.09869,0.33615,0.3183
1,-0.4995,0.3281,0.8433,26.3892,29.9377,46.7358,902,-10997,-8129,0.88586,0.10184,0.3222,0.31769
1,-0.5288,0.3438,0.8276,25.8289,29.6686,47.3785,738,-10969,-8216,0.88574,0.0976,0.31534,0.32614
1,-0.4941,0.3975,0.7349,24.8071,29.2511,47.6422,742,-10998,-8271,0.88574,0.09158,0.31134,0.3317
1,-0.4468,0.3525,0.7573,24.0051,29.3335,47.049,776,-11077,-8340,0.88864,0.08615,0.30664,0.3298
1,-0.4614,0.3052,0.7964,24.2194,29.2401,47.8674,735,-11117,-8331,0.88666,0.08478,0.30869,0.33356
1,-0.5093,0.2861,0.8115,24.8181,29.9927,49.9274,738,-11083,-8323,0.87866,0.08151,0.31674,0.34772
1,-0.6216,0.2759,0.7852,25.4114,31.734,52.597,610,-11079,-8258,0.86868,0.07227,0.33124,0.36102
1,-0.5693,0.2783,0.814,25.4608,32.3273,52.674,959,-11039,-8198,0.86664,0.06943,0.33691,0.36127
1,-0.5371,0.2568,0.8452,25.2026,32.7777,52.251,957,-11034,-8165,0.86765,0.06665,0.33939,0.35699
1,-0.4976,0.2749,0.8101,24.082,32.547,50.9985,922,-11025,-8075,0.87247,0.06277,0.33356,0.35138
1,-0.5088,0.2856,0.8735,22.9669,32.5854,50.9326,910,-11060,-8123,0.87332,0.05597,0.33096,0.35291
1,-0.5249,0.2842,0.8257,21.9781,32.3877,51.5698,892,-11031,-8180,0.87192,0.04572,0.32614,0.36218
1,-0.5439,0.2773,0.8086,20.6158,32.0581,52.7399,938,-10781,-8245,0.86911,0.03339,0.31979,0.3757
1,-0.459,0.2241,0.835,18.8635,32.0032,54.8767,992,-10577,-8425,0.86337,0.01688,0.31549,0.39331
1,-0.5205,0.1865,0.7085,17.8198,31.8933,57.1838,879,-10528,-8560,0.8544,0.00085,0.3096,0.41721
1,-0.5381,0.1812,0.6567,18.2703,32.1405,60.8093,632,-10249,-8638,0.8421,-0.00677,0.31143,0.44016
1,-0.5776,0.2388,0.7866,18.7097,32.3767,61.5015,631,-10293,-8659,0.83514,-0.00491,0.3186,0.44824
1,-0.6172,0.2456,0.8276,20.4346,33.1183,63.8965,652,-10526,-8574,0.82834,-0.004,0.3266,0.45505
1,-0.6035,0.2627,0.7759,20.6268,33.371,64.3634,623,-10524,-8565,0.82495,-0.00531,0.33044,0.4584
1,-0.5645,0.2471,0.7686,20.4181,34.4806,63.5889,946,-10494,-8514,0.82632,-0.00964,0.33624,0.45157
1,-0.5571,0.2803,0.8154,20.5444,35.0903,63.1439,953,-10452,-8436,0.82739,-0.00986,0.34097,0.44604
1,-0.543,0.2622,0.7944,19.9951,35.2606,62.7704,859,-10451,-8371,0.82834,-0.0134,0.34143,0.44385
1,-0.5542,0.2495,0.7246,19.6271,35.0684,63.1714,851,-10481,-8447,0.82724,-0.01703,0.33801,0.44836
1,-0.5654,0.2642,0.7524,20.4895,34.8376,64.3579,892,-10473,-8439,0.82376,-0.01349,0.33859,0.45438
