address,axg,ayg,azg,AngleXdeg,AngleYdeg,AngleZdeg,hx,hy,hz,q0,q1,q2,q3
2,0.5542,0.2588,0.7666,23.9227,-25.9882,-39.8529,-3638,-197,-8213,0.91199,0.11487,-0.27563,-0.28107
2,0.3945,0.2935,0.8252,22.6648,-27.6416,-30.174,-3732,-128,-8186,0.93146,0.12326,-0.27582,-0.20248
2,0.4272,0.2998,0.835,23.0823,-28.8391,-26.4386,-3675,-449,-8150,0.93512,0.13281,-0.28183,-0.16849
2,0.5933,0.1646,0.8379,25.5322,-29.339,-26.4825,-3832,-399,-8094,0.93231,0.14844,-0.28802,-0.16028
2,0.5928,0.23,0.8862,26.488,-30.5255,-23.4778,-3892,-702,-8070,0.93002,0.16309,-0.29742,-0.14105
2,0.4858,0.2163,0.8779,24.5819,-29.1028,-17.3694,-3827,-713,-8069,0.9407,0.16629,-0.27924,-0.0968
2,0.4487,0.1401,0.8755,23.5876,-27.9932,-14.6832,-3747,-701,-8101,0.94757,0.16687,-0.26163,-0.07568
2,0.4644,0.1807,0.8857,21.9672,-28.4381,-11.1456,-3715,-729,-8170,0.9516,0.16037,-0.25793,-0.04584
2,0.4814,0.2231,0.8223,21.2585,-28.916,-10.47,-3614,-422,-8174,0.9523,0.15646,-0.25842,-0.04166
2,0.5361,0.2202,0.8286,20.8411,-30.9924,-8.2727,-3889,-408,-8153,0.94894,0.15463,-0.27368,-0.02451
2,0.4971,0.2412,0.8047,20.2917,-31.3879,-5.8173,-3950,-421,-8108,0.94879,0.15582,-0.27457,-0.00049
2,0.5269,0.2534,0.7871,19.9896,-31.7285,-4.032,-3918,-405,-8057,0.94833,0.15738,-0.2749,0.01407
2,0.5459,0.2705,0.7993,20.061,-31.9427,-3.0103,-3880,-397,-8064,0.94757,0.16025,-0.27527,0.02301
2,0.5908,0.2583,0.8862,20.5884,-32.4536,-2.049,-4076,-370,-8065,0.9455,0.16611,-0.27798,0.03275
2,0.5889,0.248,0.8511,20.506,-32.2229,-1.7194,-4151,-361,-8071,0.94595,0.1669,-0.27563,0.03519
2,0.5605,0.2344,0.8213,19.3359,-32.3712,-0.2197,-4075,-419,-8029,0.94656,0.16202,-0.2753,0.04312
2,0.542,0.2031,0.7769,18.2648,-32.3712,1.0931,-4109,-453,-8120,0.94748,0.1561,-0.27408,0.05185
2,0.5269,0.2075,0.7813,17.6495,-33.0853,1.571,-4243,-163,-8087,0.94681,0.1514,-0.27808,0.05652
2,0.5767,0.1958,0.7681,17.5122,-33.9917,1.9446,-4164,-198,-8144,0.94424,0.15048,-0.28638,0.06055
2,0.5942,0.2173,0.7808,17.6825,-34.3597,3.0103,-4212,-230,-8093,0.94244,0.15448,-0.2879,0.07019
2,0.5874,0.23,0.8032,18.1604,-34.9969,3.587,-4451,-219,-8096,0.93976,0.15976,-0.29205,0.07693
2,0.6016,0.2197,0.7876,18.5559,-35.7166,4.2462,-4423,-197,-7992,0.93683,0.16458,-0.29678,0.08423
2,0.6025,0.209,0.7764,18.3966,-36.3757,5.6635,-4369,-200,-8052,0.93463,0.16675,-0.29944,0.09421
