address,axg,ayg,azg,AngleXdeg,AngleYdeg,AngleZdeg,hx,hy,hz,q0,q1,q2,q3
2,0.2578,0.1523,0.9565,14.1779,-13.3649,-56.8652,-1904,-467,-8048,-0.8735,-0.0528,0.15994,0.45663
2,0.2632,0.1523,0.9443,13.9691,-13.2495,-52.2784,-1914,-470,-8024,-0.88788,-0.05719,0.15659,0.42868
2,0.269,0.1514,0.9434,13.623,-13.266,-47.2247,-1891,-525,-8019,-0.90915,-0.06198,0.15225,0.38248
2,0.2686,0.145,0.9556,13.3704,-13.4583,-43.2697,-1872,-534,-8048,-0.91959,-0.06421,0.15063,0.35699
2,0.2612,0.1543,0.959,13.0737,-13.5297,-39.3915,-1703,-537,-7990,-0.931,-0.06662,0.14859,0.32651
2,0.2632,0.1558,0.937,12.6453,-13.7329,-34.4421,-1704,-188,-7998,-0.94308,-0.06879,0.14627,0.29044
2,0.2432,0.1494,0.9434,12.431,-13.7109,-31.2177,-1635,-77,-8052,-0.95404,-0.07159,0.14322,0.25314
2,0.2666,0.145,0.9492,12.1729,-13.8977,-27.3724,-1589,-90,-8066,-0.96088,-0.07343,0.14163,0.22623
2,0.2578,0.1489,0.9634,12.0795,-13.9417,-25.4388,-1530,-80,-8048,-0.96564,-0.07529,0.14075,0.2049
2,0.2441,0.1392,0.9644,11.8158,-13.9746,-20.8905,-1526,-78,-7989,-0.97226,-0.07819,0.1376,0.17194
2,0.2427,0.1387,0.9604,11.6235,-14.0405,-18.1494,-1546,-87,-8086,-0.97693,-0.08008,0.13593,0.14349
2,0.2495,0.1479,0.9624,11.3654,-14.0076,-15.0403,-1553,-102,-8100,-0.98068,-0.08154,0.13315,0.11728
2,0.252,0.1479,0.9663,11.25,-13.9087,-12.7386,-1578,-91,-8057,-0.98273,-0.08307,0.13034,0.10138
2,0.2373,0.1499,0.9536,11.0138,-13.7549,-9.7943,-1599,-67,-8017,-0.98553,-0.08475,0.12692,0.07291
2,0.2524,0.1421,0.9502,10.8435,-13.634,-7.5366,-1611,-63,-8042,-0.98703,-0.08585,0.12408,0.05377
2,0.2363,0.1416,0.9692,10.7446,-13.5132,-5.4657,-1633,-66,-8071,-0.98788,-0.08701,0.12216,0.03885
2,0.2158,0.1528,0.9775,10.6787,-13.3154,-4.3781,-1631,-144,-7977,-0.98859,-0.08798,0.11887,0.02701
2,0.2373,0.1421,0.9644,10.4919,-13.299,-3.3453,-1647,-75,-8003,-0.98889,-0.08765,0.11786,0.02014
2,0.2524,0.1416,0.9619,10.2557,-13.2001,-1.4667,-1680,-189,-8034,-0.98941,-0.08731,0.11563,0.00238
2,0.2358,0.1392,0.9668,10.1129,-13.3154,0.011,-1666,-345,-8032,-0.98935,-0.08755,0.11548,-0.01031
2,0.2334,0.1519,0.9521,10.036,-13.3759,0.7635,-1661,-329,-8011,-0.98926,-0.08765,0.11542,-0.01682
2,0.2432,0.1523,0.9653,9.9701,-13.3429,2.1973,-1668,-313,-8000,-0.98911,-0.08841,0.11401,-0.02753
2,0.2368,0.1523,0.9722,9.8767,-13.3044,3.1091,-1659,-468,-8005,-0.98895,-0.08856,0.11337,-0.03458
2,0.2324,0.1455,0.9521,9.6625,-13.1451,4.4055,-1678,-195,-8027,-0.98874,-0.08798,0.11075,-0.0477
2,0.2388,0.1416,0.9619,9.5746,-13.222,4.7626,-1682,-148,-8035,-0.98862,-0.08768,0.11111,-0.04999
2,0.2441,0.1416,0.9365,9.5526,-13.1177,5.3558,-1686,-74,-8002,-0.98853,-0.08728,0.11032,-0.05426
2,0.2568,0.1558,1.019,9.9976,-12.821,5.4767,-1714,-401,-7999,-0.98831,-0.09183,0.10696,-0.05704
2,0.2402,0.1587,1.0088,10.0909,-12.5684,5.5096,-1713,-482,-7997,-0.98849,-0.09256,0.10471,-0.05719
2,0.2275,0.1401,0.959,9.6075,-12.2717,6.9818,-1430,-453,-7994,-0.98834,-0.0896,0.10126,-0.06931
2,0.2246,0.144,0.9453,9.4263,-12.4255,8.2617,-1293,-400,-7982,-0.98749,-0.08923,0.10172,-0.08023
2,0.2095,0.1465,0.9639,9.2834,-12.4255,9.5471,-1497,-254,-8007,-0.98669,-0.0892,0.10129,-0.08994
2,0.2217,0.145,0.9736,9.2175,-12.4091,10.5084,-1337,-213,-7958,-0.98593,-0.08942,0.09995,-0.0994
2,0.2139,0.1514,0.9727,9.1077,-12.3541,11.1621,-1340,-130,-7996,-0.98547,-0.08899,0.09906,-0.10492
2,0.2329,0.1357,0.9658,8.9539,-12.4365,11.8817,-1306,-108,-8011,-0.98483,-0.08838,0.09937,-0.11102
2,0.2192,0.144,0.9658,8.8385,-12.2882,13.0682,-1293,-86,-8032,-0.98404,-0.08817,0.09763,-0.11945
2,0.2192,0.1323,0.9731,8.8275,-12.3651,14.035,-1264,-203,-8018,-0.98276,-0.08908,0.09723,-0.12933
2,0.2212,0.1406,0.9756,8.8055,-12.4036,14.7272,-1275,-99,-8018,-0.98193,-0.08951,0.09702,-0.13525
2,0.1504,0.1865,0.5708,8.9648,-12.7222,15.5676,-1402,-65,-8013,-0.98044,-0.09189,0.09891,-0.14276
2,0.3389,0.2598,0.0645,10.7062,-17.0453,15.7599,-1562,-306,-8024,-0.97339,-0.1116,0.13351,-0.14871
2,0.3472,0.6226,0.4111,24.9829,-16.452,21.4124,-2313,-1265,-7833,-0.94363,-0.23633,0.0975,-0.20996
2,0.1479,1.1631,1.0552,47.785,-4.9988,29.6576,-923,-3444,-6501,-0.87845,-0.40137,-0.065,-0.25085
2,-0.0947,1.1279,0.999,64.0393,-3.7463,29.0039,-389,-4915,-4959,-0.82782,-0.50095,-0.09814,-0.23248
2,0.0068,0.9883,0.8179,74.6246,-3.4113,21.2091,-326,-5648,-3624,-0.78302,-0.5867,-0.09689,-0.18216
