Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time,Camera Frame
103,1,0.52734,2.6982,0.58984,0.356,6,1.6518e+09,145
103,1,0.52734,2.6982,0.58984,0.356,6,1.6518e+09,146
103,1,0.52734,2.6982,0.58984,0.356,6,1.6518e+09,147
103,1,0.52734,2.6982,0.58984,0.356,6,1.6518e+09,148
113,2,0,2.4893,0,0.356,7,1.6518e+09,149
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,149
113,2,0,2.4893,0,0.356,7,1.6518e+09,150
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,150
113,2,0,2.4893,0,0.356,7,1.6518e+09,151
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,151
113,2,0,2.4893,0,0.356,7,1.6518e+09,152
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,152
113,2,0,2.4893,0,0.356,7,1.6518e+09,153
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,153
113,2,0,2.4893,0,0.356,7,1.6518e+09,154
113,2,0,2.4863,-0.13086,-0.356,6,1.6518e+09,154
114,3,0,2.459,-0.071289,0.356,8,1.6518e+09,155
114,3,0,2.4883,-0.083008,0.356,9,1.6518e+09,155
114,3,0,2.4834,-0.17285,-0.356,8,1.6518e+09,155
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,156
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,156
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,157
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,157
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,158
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,158
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,159
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,159
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,160
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,160
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,161
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,161
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,162
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,162
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,163
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,163
115,2,0,2.457,-0.125,-0.356,7,1.6518e+09,164
115,2,0,2.4883,-0.084961,-0.356,7,1.6518e+09,164
134,2,0,2.46,0,-0.356,5,1.6518e+09,165
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,165
134,2,0,2.46,0,-0.356,5,1.6518e+09,166
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,166
134,2,0,2.46,0,-0.356,5,1.6518e+09,167
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,167
134,2,0,2.46,0,-0.356,5,1.6518e+09,168
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,168
134,2,0,2.46,0,-0.356,5,1.6518e+09,169
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,169
134,2,0,2.46,0,-0.356,5,1.6518e+09,170
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,170
134,2,0,2.46,0,-0.356,5,1.6518e+09,171
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,171
134,2,0,2.46,0,-0.356,5,1.6518e+09,172
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,172
134,2,0,2.46,0,-0.356,5,1.6518e+09,173
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,173
134,2,0,2.46,0,-0.356,5,1.6518e+09,174
134,2,0,2.4766,-0.25488,-0.356,6,1.6518e+09,174
136,4,-0.94629,2.5537,0.40527,-0.356,7,1.6518e+09,175
136,4,-0.95605,2.5977,0.28418,-0.356,8,1.6518e+09,175
136,4,0.60254,2.6865,0.042969,-0.356,6,1.6518e+09,175
136,4,0.6084,2.6641,0.52148,-0.356,6,1.6518e+09,175
137,12,0,2.4951,0.64453,0,5,1.6518e+09,176
137,12,0,2.4453,-0.26855,0.356,9,1.6518e+09,176
137,12,0,2.4795,-0.22461,0.356,12,1.6518e+09,176
137,12,0,2.5146,-0.14453,0.356,14,1.6518e+09,176
137,12,0,2.5479,0,0.356,14,1.6518e+09,176
137,12,0,2.5771,0,0.356,12,1.6518e+09,176
137,12,0,2.4316,-0.37402,-0.356,9,1.6518e+09,176
137,12,0,2.4492,-0.44434,-0.356,13,1.6518e+09,176
137,12,0,2.5059,-0.25781,-0.356,16,1.6518e+09,176
137,12,0,2.5479,-0.03418,-0.356,20,1.6518e+09,176
137,12,0,2.5732,0.15039,-0.356,20,1.6518e+09,176
137,12,0.69531,2.6885,0.1748,-0.356,8,1.6518e+09,176
138,24,0,2.4658,0.51563,0,5,1.6518e+09,177
138,24,0,2.5166,0.39746,0,8,1.6518e+09,177
138,24,0,2.4795,0.7041,0,8,1.6518e+09,177
138,24,-0.081055,2.5703,0.4248,0,6,1.6518e+09,177
138,24,0,2.4307,0.025391,0.356,8,1.6518e+09,177
138,24,0,2.459,0.071289,0.356,11,1.6518e+09,177
138,24,0,2.4893,-0.038086,0.356,8,1.6518e+09,177
138,24,0.77441,2.6289,0.25977,0.356,10,1.6518e+09,177
138,24,0.69531,2.6299,0.58594,0.356,10,1.6518e+09,177
138,24,-0.076172,2.4287,-0.078125,-0.356,10,1.6518e+09,177
138,24,0,2.4541,-0.1709,-0.356,13,1.6518e+09,177
138,24,0,2.4648,-0.35059,-0.356,8,1.6518e+09,177
138,24,0,2.3867,0.80469,-0.356,6,1.6518e+09,177
138,24,0,2.4873,0.55371,-0.356,18,1.6518e+09,177
138,24,0,2.5293,0.49805,-0.356,20,1.6518e+09,177
138,24,0,2.5693,0.44238,-0.356,15,1.6518e+09,177
138,24,0.77441,2.6396,0.11719,-0.356,17,1.6518e+09,177
138,24,0.69531,2.6699,0.3584,-0.356,17,1.6518e+09,177
138,24,0.70313,2.6865,0.44238,-0.356,11,1.6518e+09,177
138,24,-0.86035,2.5947,0.3252,0.356,9,1.6518e+09,177
138,24,-0.95605,2.5723,0.45898,0.356,8,1.6518e+09,177
138,24,-0.86035,2.6064,0.21289,-0.356,13,1.6518e+09,177
138,24,-0.86914,2.623,0.32813,-0.356,12,1.6518e+09,177
