Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time,Camera Frame
142,4,0.66602,2.5781,0.12012,-0.356,9,1.6517e+09,66
142,4,0.67383,2.6025,0.1875,-0.356,13,1.6517e+09,66
142,4,0.68066,2.6357,0.10449,-0.356,12,1.6517e+09,66
142,4,0.77441,2.6367,0.17188,-0.356,8,1.6517e+09,66
143,6,-0.65137,2.5137,0.23047,0.356,7,1.6517e+09,67
143,6,-0.65918,2.5244,0.37695,0.356,11,1.6517e+09,67
143,6,-0.75,2.5254,0.40625,0.356,11,1.6517e+09,67
143,6,-0.75781,2.5488,0.43555,0.356,8,1.6517e+09,67
143,6,-0.65918,2.5518,0.036133,-0.356,7,1.6517e+09,67
143,6,-0.66602,2.5664,0.27344,-0.356,7,1.6517e+09,67
146,2,0.074219,2.3691,-0.094727,0.356,6,1.6517e+09,68
146,2,0,2.3887,-0.24609,0.356,6,1.6517e+09,68
146,2,0.074219,2.3691,-0.094727,0.356,6,1.6517e+09,69
146,2,0,2.3887,-0.24609,0.356,6,1.6517e+09,69
147,5,0,2.3428,-0.061523,0.356,6,1.6517e+09,70
147,5,0,2.3604,-0.24316,0.356,8,1.6517e+09,70
147,5,0.075195,2.3818,-0.2998,0.356,8,1.6517e+09,70
147,5,0,2.3301,-0.44434,-0.356,8,1.6517e+09,70
147,5,0,2.3945,-0.1875,-0.356,8,1.6517e+09,70
148,2,0,2.3389,-0.39551,-0.356,8,1.6517e+09,71
148,2,0.15039,2.3721,-0.34473,-0.356,8,1.6517e+09,71
148,2,0,2.3389,-0.39551,-0.356,8,1.6517e+09,72
148,2,0.15039,2.3721,-0.34473,-0.356,8,1.6517e+09,72
148,2,0,2.3389,-0.39551,-0.356,8,1.6517e+09,73
148,2,0.15039,2.3721,-0.34473,-0.356,8,1.6517e+09,73
148,2,0,2.3389,-0.39551,-0.356,8,1.6517e+09,74
148,2,0.15039,2.3721,-0.34473,-0.356,8,1.6517e+09,74
148,2,0,2.3389,-0.39551,-0.356,8,1.6517e+09,75
148,2,0.15039,2.3721,-0.34473,-0.356,8,1.6517e+09,75
159,16,-0.81445,2.4619,0.26172,0,6,1.6517e+09,76
159,16,-0.65918,2.542,0.2334,0,14,1.6517e+09,76
159,16,-0.66602,2.5693,0.24414,0,19,1.6517e+09,76
159,16,-0.75781,2.5801,0.16797,0,17,1.6517e+09,76
159,16,-0.85156,2.583,0.15137,0,10,1.6517e+09,76
159,16,-0.7334,2.4629,0.44043,0.356,12,1.6517e+09,76
159,16,-0.74121,2.5127,0.29395,0.356,28,1.6517e+09,76
159,16,-0.66602,2.5615,0.31543,0.356,40,1.6517e+09,76
159,16,-0.67383,2.5918,0.2998,0.356,37,1.6517e+09,76
159,16,-0.76563,2.6055,0.21387,0.356,22,1.6517e+09,76
159,16,-0.74121,2.498,0.39941,0.71201,11,1.6517e+09,76
159,16,-0.75,2.5176,0.45313,0.71201,15,1.6517e+09,76
159,16,-0.75781,2.5586,0.37402,0.71201,14,1.6517e+09,76
