address,axg,ayg,azg,AngleXdeg,AngleYdeg,AngleZdeg,hx,hy,hz,q0,q1,q2,q3
7,0.3701,0.1372,1.082,15.4413,-11.2555,-85.2814,-2652,1398,-8373,-0.7294,-0.02652,0.16003,0.66449
7,0.2446,0.1499,1.0601,16.6827,-6.8774,-78.8983,-2272,860,-8368,-0.7634,-0.0704,0.14304,0.62585
7,0.1572,0.0986,0.9116,15.7544,-5.2789,-74.4324,-1838,922,-8325,-0.78693,-0.0809,0.12195,0.59937
7,0.2266,0.1045,0.9321,15.2325,-6.3721,-69.0546,-1646,1134,-8310,-0.81506,-0.07794,0.11923,0.56149
7,0.1489,0.1274,1.0317,15.4468,-7.2345,-63.045,-1575,1069,-8278,-0.84274,-0.08078,0.12402,0.51746
7,0.1528,0.1221,1.0156,14.458,-7.1301,-57.8979,-1628,808,-8326,-0.86685,-0.08102,0.1167,0.47781
7,0.1494,0.0864,0.9282,12.854,-7.2839,-53.2013,-1384,1134,-8324,-0.8866,-0.07288,0.10678,0.44397
7,0.1582,0.0728,0.8936,12.5519,-8.844,-49.6472,-1549,1106,-8289,-0.90295,-0.06674,0.11533,0.40842
7,0.166,0.1064,1.02,13.2001,-10.0031,-45.9064,-1546,979,-8342,-0.91351,-0.07083,0.12338,0.38098
7,0.2451,0.1035,1.0137,13.3594,-10.025,-43.9124,-1566,848,-8366,-0.92139,-0.07504,0.12381,0.3605
7,0.2158,0.1289,0.9648,13.0902,-10.0085,-40.8801,-1589,849,-8323,-0.93079,-0.07614,0.12088,0.3363
7,0.2285,0.1387,0.979,13.3264,-11.0358,-37.8314,-1595,891,-8342,-0.93881,-0.07828,0.12781,0.30991
7,0.2104,0.1353,0.9819,12.9639,-11.7938,-34.1345,-1931,931,-8308,-0.94714,-0.07794,0.13016,0.28247
7,0.2061,0.1416,0.978,12.3761,-12.3376,-31.4703,-1941,931,-8382,-0.95374,-0.07468,0.13168,0.25958
7,0.21,0.1343,0.9746,11.9202,-12.3981,-29.8828,-1897,910,-8339,-0.95819,-0.07202,0.13037,0.24411
7,0.2397,0.1328,0.9785,11.5521,-12.4969,-28.7402,-1877,898,-8351,-0.96072,-0.07004,0.12976,0.23483
7,0.2471,0.125,0.9575,11.1566,-12.464,-27.5922,-1877,871,-8360,-0.96329,-0.06808,0.12799,0.22568
7,0.2505,0.1206,0.9561,10.7501,-12.7441,-25.0928,-1845,833,-8348,-0.96802,-0.06686,0.12808,0.2048
7,0.229,0.126,0.96,10.5029,-12.5739,-22.511,-1845,825,-8335,-0.97208,-0.06781,0.12518,0.18628
7,0.2354,0.1191,0.9683,10.2448,-12.2443,-20.6049,-1900,821,-8343,-0.97601,-0.06836,0.12042,0.16772
7,0.2148,0.1187,0.9731,9.8877,-12.0081,-18.902,-1920,831,-8365,-0.97836,-0.06772,0.11734,0.15598
7,0.2246,0.1221,0.9805,9.5691,-11.9037,-17.9242,-1971,796,-8346,-0.98007,-0.06616,0.11536,0.14719
